class,DS,DU
5,2780.22,14
7,2765.79,21
5,748.94,5
7,7686.47,51
7,1345.61,6
5,10674.42,78
4,1440.65,10
7,6469.17,34
0,1934.42,19
3,908.7,9
5,619.56,5
5,1360.06,13
0,1350.2,8
0,1418.18,12
1,2767.07,23
5,895.6,7
5,7207.53,50
2,1894.21,9
7,4775.05,29
1,2868.96,19
4,2947.07,13
7,1865.19,18
3,1102.48,7
0,1026.76,8
4,2342.43,71
0,1229.5,14
5,3211.91,12
4,5721.73,41
5,5414.69,58
5,4610.26,23
1,4340.11,33
5,6035.12,58
5,1838.73,15
2,401.92,10
5,2061.77,9
5,455.32,4
0,731.1,5
7,2573.73,14
2,2095.51,17
5,3434.66,23
7,4409.97,23
2,1127.08,7
0,677.86,13
4,1630.78,9
5,1075.44,14
3,2742.45,12
0,473.81,5
5,1191.53,14
5,2540.01,47
2,789.13,4
3,1800.21,16
0,905.69,9
5,3672.15,22
0,614.77,4
7,1074.89,8
3,561.57,5
0,2299.18,17
2,2600.26,19
0,895.57,9
5,492.49,4
7,3550.99,19
4,5893.14,53
5,4697.22,32
2,1578.02,16
0,2077.67,10
3,11403.39,54
0,910.44,5
0,720.89,7
1,2813.45,37
4,464.04,4
5,1501.42,10
5,807.91,31
0,2502.12,14
0,2758.3,24
3,5255.18,41
3,3211.45,23
4,4887.81,23
2,3533.31,16
7,10440.57,52
3,1329.76,8
5,848.29,4
7,449.89,13
0,687.37,5
5,2735.76,26
5,1020.95,5
5,8650.55,47
5,1194.31,6
0,4813.93,24
4,1481.81,14
4,736.2,4
0,1137.26,8
5,1292.51,8
5,2877.61,13
3,745.07,6
5,1021.18,5
4,1194.18,8
0,3015.62,16
7,1252.89,7
4,1151.39,7
0,677.73,7
1,514.36,6
3,358.06,4
5,2272.83,17
7,847.68,7
7,6786.02,63
7,1313.77,5
5,1800.82,12
7,1364.57,16
0,1589.26,18
0,736.2,7
4,2516.48,18
0,4486.6,21
7,10370.22,139
3,1766.66,11
7,972.51,14
3,5277.06,27
4,402.14,10
4,1069.93,6
7,1422.78,11
5,6655.44,46
0,819.27,10
5,2143.35,22
7,343.74,4
3,1607.47,11
3,1021.13,3
0,280.67,19
7,992.91,10
5,1003.89,4
0,4212.5,32
3,924.36,34
1,2311.17,17
7,5713.36,30
7,2496.09,17
5,3072.09,20
7,3272.2,19
2,4635.56,31
5,4770.37,19
5,6273.71,54
3,784.21,5
6,3921.75,19
5,1244.47,11
0,2563.37,19
5,2342.67,11
5,10420.77,99
7,1132.38,7
0,6667.58,35
0,1885.92,10
5,1515.29,9
4,1698.91,11
7,5766.42,30
0,1145.44,12
7,1387.89,7
4,4910.84,26
1,3784.97,26
5,1063.89,23
5,1215.05,10
7,953.07,6
0,1122.87,9
7,682.96,11
5,1717.7,9
3,5576.24,41
7,4998.91,22
7,1185.72,24
3,633.86,5
0,643.67,5
0,3478.17,28
7,2190.98,24
2,1771.58,10
7,2026.7,14
5,687.37,4
5,2781.57,17
1,1350.93,24
7,2347.34,14
2,759.12,8
3,401.41,4
1,3253.18,19
7,1481.97,18
5,1110.18,16
1,8044.33,41
0,3568.77,29
2,2967.46,25
5,227.16,16
2,2656.95,18
4,507.98,7
5,1200.71,8
0,683.14,4
4,3075.54,20
1,851.89,8
3,9509.21,62
7,1359.51,7
3,1356.38,12
3,1483.09,11
5,807.69,5
7,2006.58,11
0,2961.71,61
5,1145.14,11
3,5020.81,47
7,1957.09,16
7,2997.93,21
7,575.64,14
3,3764.44,19
5,3199.2,21
0,808.03,7
5,683.74,7
5,852.38,5
7,1266.76,9
7,1176.14,9
0,9844.93,53
5,1069.83,6
7,1615.53,10
5,1534,8
2,3673.88,54
5,3300.88,37
4,5544.23,30
7,3876.25,23
4,2322.65,33
5,1904.91,12
1,2389.15,20
7,3885.31,21
5,3139.42,21
3,1411.1,10
7,978.08,7
6,2186.56,25
0,881.15,8
3,566.89,4
2,963.04,5
3,599.14,7
5,788.83,4
2,1500.13,12
2,1984.11,15
4,754.53,7
4,2898.48,23
7,5921.47,29
0,299.31,16
5,280.62,54
7,2459.87,15
0,1650.89,14
0,2631.6,13
7,3480.46,20
5,2646.34,15
3,6734.88,57
7,1999.07,27
7,1593.03,9
4,3888.05,25
7,4250.62,32
5,6605.53,38
3,1694.64,9
4,1078.84,11
5,7196.65,30
2,5232.22,34
0,570.98,6
7,410.85,4
5,749.85,20
7,986.86,8
5,5573.65,52
3,1044.18,9
3,1403.89,7
4,1555.01,8
7,464.63,3
4,1373.37,11
3,1088.45,7
4,3478.93,19
5,169.54,23
3,740.72,7
0,831.31,20
3,1132.45,8
5,701.08,15
7,3988.61,25
7,803.38,11
5,2479.27,20
6,1001.63,19
3,561.29,14
0,2557.57,15
0,1900.41,8
7,1355.19,9
5,1253.68,10
1,4016.32,32
3,740.09,10
5,914.63,6
7,1529.77,15
