ID,EX,EY,geohash,class
291,121.484,31.265,wtw3u7tgy67v,5
292,121.44,31.193,wtw37qtbmheh,5
293,121.443,31.214,wtw3ed24ep24,1
294,121.442,31.199,wtw37rx77enk,0
295,121.467,31.195,wtw3kncs41rz,5
296,121.435,31.177,wtw377d70w4c,7
297,121.463,31.21,wtw3ecwemj9j,4
298,121.491,31.248,wtw3u8e0c3rs,7
299,121.411,31.28,wtw3fy2g1qeh,3
300,121.525,31.309,wtw6j7eu1sxg,0
301,121.508,31.252,wtw3ucr2je59,7
302,121.416,31.174,wtw36gh3tyg3,3
303,121.482,31.201,wtw3kruqzzbw,0
304,121.457,31.225,wtw3eu66c1zk,3
305,121.434,31.153,wtw35r1x3k15,7
306,121.376,31.35,wtw63gp6cz96,3
307,121.511,31.29,wtw6j01t7wb8,7
308,121.528,31.284,wtw3vrjfx8k9,5
309,121.455,31.205,wtw3eb8y69eg,4
310,121.508,31.303,wtw6hfx3jw5s,5
311,121.421,31.124,wtw351bn6q5e,3
312,121.465,31.277,wtw3ujb1exks,5
313,121.367,31.284,wtw3cz0f8063,1
314,121.531,31.314,wtw6js81m89t,2
315,121.386,31.188,wtw36jwe6b9f,4
316,121.482,31.202,wtw3s2hkzf2e,4
317,121.39,31.088,wtw2f73s8p0r,0
318,121.453,31.199,wtw37xx7k50s,0
319,121.506,31.283,wtw3uyvuxjb7,4
320,121.433,31.174,wtw3770c9yz9,1
321,121.453,31.275,wtw3gtrqh489,5
322,121.376,31.271,wtw3cuxqcbck,0
323,121.378,31.232,wtw3dj8g86u8,7
324,121.472,31.32,wtw6hjthnz0j,4
325,121.414,31.302,wtw64f6gr78p,7
326,121.422,31.217,wtw3e4bu1wt6,0
327,121.542,31.289,wtw3vzbptu7g,5
328,121.369,31.253,wtw3cc6jytmw,3
329,121.452,31.194,wtw37wwwhxp4,3
330,121.407,31.242,wtw3dxmvu4ut,0
331,121.499,31.275,wtw3uv2y5fs9,0
332,121.522,31.275,wtw3vm3w5fdc,0
333,121.424,31.237,wtw3end28qbe,7
334,121.516,31.21,wtw3t1t72j8v,5
335,121.431,31.164,wtw371pr7qsm,7
336,121.516,31.3,wtw6j1vr8nbu,3
337,121.427,31.263,wtw3g5k2njte,3
338,121.433,31.202,wtw3e20ucfre,1
339,121.473,31.205,wtw3s0tyq19e,4
340,121.454,31.168,wtw37cbng266,1
341,121.525,31.254,wtw3v3eg9xzu,5
342,121.482,31.29,wtw6h2hmryb8,4
343,121.482,31.282,wtw3uqsqzg2w,5
344,121.453,31.31,wtw65ez3up09,0
345,121.311,31.208,wtw383pzz0vg,3
346,121.473,31.199,wtw3kptgq51s,5
347,121.408,31.237,wtw3dww8eqy5,4
348,121.498,31.212,wtw3scbphde0,0
349,121.383,31.308,wtw645kqkfhy,5
350,121.452,31.267,wtw3geyxkxr0,5
351,121.546,31.28,wtw3vy755ndk,2
352,121.505,31.181,wtw3kum4rxww,1
353,121.474,31.222,wtw3s5y9m6ek,5
354,121.438,31.163,wtw373h3wkpz,4
355,121.47,31.262,wtw3u55f25hv,2
356,121.549,31.203,wtw3tbm68uz3,5
357,121.413,31.286,wtw3fz6npvn7,3
358,121.476,31.231,wtw3sm2jgbqe,5
359,121.616,31.273,wtw3zmn46jwr,3
360,121.511,31.276,wtw3vj9egsbx,2
361,121.362,31.244,wtw39xv17xdp,7
362,121.485,31.214,wtw3s6qdtxmd,3
363,121.411,31.196,wtw36z0cc7gh,7
364,121.451,31.265,wtw3getgv6mm,0
365,121.466,31.218,wtw3s50f4byp,7
366,121.513,31.311,wtw6j5gpf17y,0
367,121.373,31.181,wtw33um47zsq,5
368,121.491,31.343,wtw6k9g41qxt,4
369,121.5,31.335,wtw6kb3ee5q7,7
370,121.392,31.232,wtw3dmdgwdgb,7
371,121.437,31.149,wtw35qe8p4qn,7
372,121.404,31.291,wtw6487eq1pt,5
373,121.443,31.251,wtw3g904708h,1
374,121.307,31.21,wtw383t53vxj,7
375,121.479,31.302,wtw6h6673gex,3
376,121.535,31.328,wtw6jx54ff2r,7
377,121.638,31.264,wtw3zgqn4b48,0
378,121.549,31.228,wtw3tuvk2cp7,7
379,121.446,31.193,wtw37wd22uth,7
380,121.581,31.255,wtw3y9u9ddk3,0
381,121.472,31.318,wtw6hjm0wf24,5
382,121.529,31.333,wtw6jryxyyw3,5
383,121.418,31.208,wtw3dcjzu2yg,5
384,121.438,31.244,wtw3eru3qrxz,7
385,121.47,31.242,wtw3sp7vb4uv,5
386,121.379,31.16,wtw36092ptn2,3
387,121.401,31.133,wtw34e9db7fd,0
388,121.407,31.326,wtw64wtzhjss,1
389,121.348,31.289,wtw3crfztk6g,0
390,121.383,31.169,wtw364hksfsz,3
391,121.377,31.271,wtw3fh8nc0fu,7
392,121.504,31.308,wtw6hgkw26jn,2
393,121.449,31.182,wtw37ss2qf45,3
394,121.459,31.16,wtw37be8pv48,0
395,121.545,31.285,wtw3vz627f8y,7
396,121.522,31.305,wtw6j6csgffy,4
397,121.441,31.193,wtw37qw8kksu,5
398,121.539,31.265,wtw3vetgzfqv,7
399,121.384,31.131,wtw345jphpn8,4
400,121.501,31.336,wtw6kbd36tb1,7
401,121.494,31.204,wtw3s8t0rrhq,0
402,121.457,31.212,wtw3ecfr14x2,2
403,121.449,31.221,wtw3ees7wb4p,0
404,121.601,31.266,wtw3z5g1ssv6,5
405,121.536,31.333,wtw6jxgzfn9c,3
406,121.445,31.208,wtw3e91xc8g7,0
407,121.495,31.316,wtw6hsvuytw0,3
408,121.382,31.311,wtw645gxv97n,5
409,121.372,31.244,wtw39zu3kxdx,3
410,121.455,31.2,wtw37zbc4tec,4
411,121.538,31.296,wtw6j9m22tjr,4
412,121.405,31.255,wtw3f9u3td33,3
413,121.46,31.31,wtw65gu3zph1,7
414,121.57,31.158,wtw3q2hsd24j,1
415,121.455,31.271,wtw3gu8yf8gu,0
416,121.526,31.317,wtw6jmhd9pcm,0
417,121.525,31.309,wtw6j7eu1sxg,0
418,121.437,31.281,wtw3gqe9p1n1,7
419,121.495,31.323,wtw6hwjvwwqj,3
420,121.42,31.284,wtw3fzp6e061,7
421,121.55,31.192,wtw3myq4861p,0
422,121.414,31.136,wtw34u4ur704,5
