路段编码,路名,区属,类型,段起点,段止点,等级,长度,路段面积,人行道面积
HPS000011364,高家横弄,黄浦,路段,高家弄,庄家街,支路,64.5,157.6,0
HPS000011362,高家弄,黄浦,路段,高家横弄,西仓桥街,支路,81,283.2,0
HPS000011363,高家弄,黄浦,路段,复兴东路,高家横弄,支路,44,207,51.8
HPS000011348,高雄路,黄浦,路段,经六路,制造局路,支路,148,3721,952
HPS000020340,高雄路,黄浦,路段,西藏南路,经六路,次干路,177,3631,1279
HPS000011384,公义码头街,黄浦,路段,中山南路,万裕街,支路,230,1444.2,388.2
HPS000009928,牯岭路,黄浦,路段,长沙路,白河路,支路,70,584.5,309.2
HPS000009930,牯岭路,黄浦,路段,白河路,黄河路,支路,145,1222.6,413.2
HPS000009906,牯岭路,黄浦,路段,西藏,长沙路,支路,174,1526.2,535.2
HPS000009932,顾家弄,黄浦,路段,牛庄路,宁波路,支路,76,244.6,49.4
HPS000009941,顾家弄,黄浦,路段,北京东路,牛庄路,支路,113,410,82
HPS000011380,馆驿街,黄浦,路段,方浜中路,昼锦路,支路,92,1063.4,443
HPS000011373,光启路,黄浦,路段,学院路,复兴东路,支路,120,808.5,231
HPS000011374,光启路,黄浦,路段,盛家街,学院路,支路,76.5,692.2,184.2
HPS000011375,光启路,黄浦,路段,县左街,盛家街,支路,76.5,670,134
HPS000011376,光启路,黄浦,路段,昼锦路,县左街,支路,19.5,108.8,22.1
HPS000011377,光启路,黄浦,路段,方浜中路,昼锦路,支路,120.2,984.3,241.8
HPS000011379,光启路小市政,黄浦,路段,188弄A,188弄B,支路,97,265,0
HPS000011371,光启路小市政,黄浦,路段,177弄A,177弄B,支路,16,77,0
HPS000011368,光启路小市政,黄浦,路段,169弄A,169弄B,支路,89,323,0
HPS000011369,光启南路,黄浦,路段,复兴东路,赵家宅弄,支路,91,411.9,145.7
HPS000011354,光启南路,黄浦,路段,赵家宅弄,西唐家弄,支路,111,965,441.2
HPS000011367,光启南路,黄浦,路段,俞家弄,黄家路,支路,120,1478.1,811.7
HPS000011320,光启南路,黄浦,路段,乔家栅,乔家路,支路,81,685.8,320.2
HPS000011322,光启南路,黄浦,路段,麦家弄,乔家栅,支路,120,1191.8,544.3
HPS000011324,光启南路,黄浦,路段,西唐家弄,麦家弄,支路,77,579.7,215.9
