ID,BID,UID,ST,SX,SY,ET,EX,EY,DS,DU,class
610,46590,5781,2016/8/1 12:33,121.517,31.274,2016/8/1 12:45,121.507,31.279,1655.33,12,4
611,60965,6071,2016/8/1 12:34,121.434,31.201,2016/8/1 12:55,121.419,31.192,2220.56,21,5
612,110564,3212,2016/8/1 12:36,121.491,31.245,2016/8/1 13:20,121.452,31.278,6504.76,44,0
613,126213,1898,2016/8/1 12:36,121.441,31.228,2016/8/1 12:56,121.447,31.214,1794.65,20,3
614,91938,6338,2016/8/1 12:36,121.406,31.136,2016/8/1 12:41,121.402,31.132,856.14,5,0
615,46898,5464,2016/8/1 12:43,121.444,31.27,2016/8/1 12:59,121.442,31.282,2883.58,16,7
616,99366,7861,2016/8/1 12:45,121.45,31.216,2016/8/1 13:00,121.439,31.214,1628.81,15,7
617,120516,7683,2016/8/1 12:47,121.512,31.25,2016/8/1 14:13,121.473,31.223,12770.21,86,0
618,111212,4934,2016/8/1 12:47,121.447,31.19,2016/8/1 13:07,121.431,31.203,2636.76,20,5
619,96570,5978,2016/8/1 12:48,121.46,31.318,2016/8/1 12:56,121.459,31.333,1562.99,8,0
620,82094,3898,2016/8/1 12:48,121.455,31.196,2016/8/1 12:54,121.453,31.201,513.08,6,0
621,114514,2911,2016/8/1 12:49,121.628,31.279,2016/8/1 13:02,121.626,31.26,1554.33,13,2
622,74508,5268,2016/8/1 12:50,121.461,31.268,2016/8/1 13:07,121.439,31.277,3188.8,17,2
623,15100,7579,2016/8/1 12:50,121.428,31.156,2016/8/1 13:31,121.421,31.152,1127.48,41,5
624,32720,5718,2016/8/1 12:50,121.532,31.323,2016/8/1 12:56,121.537,31.328,847.68,6,5
