ID,BID,UID,ST,SX,SY,ET,EX,EY,EC,DU,DS
2709,80825,6968,2020/8/11 10:31,121.445,31.212,2020/8/11 10:39,121.441,31.214,7,8,440.97436
2710,42891,7962,2020/8/11 10:38,121.529,31.339,2020/8/11 10:45,121.527,31.329,5,7,1124.971395
2711,3258,1056,2020/8/11 10:43,121.529,31.273,2020/8/11 10:48,121.525,31.274,5,5,396.730334
2712,146672,1100,2020/8/11 10:48,121.528,31.278,2020/8/11 10:50,121.525,31.276,4,2,361.643697
2713,24007,6662,2020/8/11 10:55,121.477,31.231,2020/8/11 11:07,121.487,31.236,2,12,1102.259046
2714,96326,7031,2020/8/11 11:00,121.524,31.309,2020/8/11 11:05,121.519,31.312,7,5,580.675177
2715,61878,3302,2020/8/11 11:07,121.514,31.307,2020/8/11 11:19,121.506,31.3,4,12,1087.385279
2716,108590,3967,2020/8/11 11:15,121.468,31.263,2020/8/11 11:26,121.48,31.266,4,11,1190.295027
2717,55602,2398,2020/8/11 11:20,121.373,31.181,2020/8/11 11:27,121.372,31.185,5,7,453.618734
2718,103660,10296,2020/8/11 11:26,121.432,31.174,2020/8/11 11:35,121.427,31.166,3,9,1006.949971
2719,144714,10480,2020/8/11 11:33,121.549,31.25,2020/8/11 11:41,121.537,31.245,7,8,1270.416321
2720,24466,7276,2020/8/11 11:40,121.413,31.303,2020/8/11 12:09,121.402,31.299,5,29,1137.27179
2721,188011,3495,2020/8/11 11:46,121.498,31.282,2020/8/11 12:46,121.499,31.281,3,60,146.152147
2722,163147,703,2020/8/11 11:50,121.523,31.227,2020/8/11 12:01,121.531,31.223,0,11,881.86591
2723,101748,5824,2020/8/11 11:55,121.523,31.227,2020/8/11 12:18,121.515,31.226,5,23,770.243907
2724,97312,2160,2020/8/11 11:59,121.523,31.259,2020/8/11 12:10,121.511,31.262,7,11,1190.341252
2725,111875,8638,2020/8/11 12:02,121.354,31.226,2020/8/11 12:17,121.365,31.228,1,15,1071.251889
2726,42412,11252,2020/8/11 12:06,121.459,31.195,2020/8/11 12:25,121.475,31.194,3,19,1528.983138
2727,92019,4133,2020/8/11 12:13,121.456,31.244,2020/8/11 12:24,121.444,31.247,7,11,1190.514552
2728,58586,9479,2020/8/11 12:17,121.364,31.258,2020/8/11 12:22,121.368,31.261,7,5,505.748942
2729,169418,1388,2020/8/11 12:22,121.437,31.19,2020/8/11 12:30,121.431,31.195,1,8,796.46472
2730,121109,7836,2020/8/11 12:28,121.439,31.135,2020/8/11 12:38,121.445,31.143,0,10,1055.523037
2731,184596,1394,2020/8/11 12:31,121.434,31.188,2020/8/11 12:36,121.436,31.193,4,5,586.223573
2732,191187,4064,2020/8/11 12:36,121.485,31.306,2020/8/11 12:44,121.48,31.311,3,8,730.6741
2733,101506,666,2020/8/11 12:39,121.51,31.289,2020/8/11 12:44,121.503,31.293,1,5,800.562802
2734,16966,9673,2020/8/11 12:43,121.454,31.212,2020/8/11 12:52,121.455,31.2,4,9,1333.884752
2735,51934,9020,2020/8/11 12:49,121.392,31.254,2020/8/11 13:18,121.435,31.255,3,29,4097.236708
2736,176820,3032,2020/8/11 12:54,121.516,31.332,2020/8/11 13:01,121.507,31.329,2,7,918.876551
2737,139942,2760,2020/8/11 13:00,121.374,31.315,2020/8/11 13:08,121.382,31.314,7,8,769.544344
2738,146837,6359,2020/8/11 13:02,121.441,31.19,2020/8/11 13:21,121.434,31.201,4,19,1390.155444
2739,60323,10179,2020/8/11 13:05,121.458,31.206,2020/8/11 13:14,121.462,31.208,5,9,440.995057
2740,125900,7750,2020/8/11 13:07,121.431,31.243,2020/8/11 13:15,121.442,31.242,7,8,1053.728318
2741,184252,6946,2020/8/11 13:10,121.424,31.203,2020/8/11 13:18,121.433,31.205,2,8,885.904011
2742,27798,1603,2020/8/11 13:16,121.484,31.219,2020/8/11 13:20,121.483,31.225,4,4,672.028726
2743,190635,9632,2020/8/11 13:18,121.457,31.193,2020/8/11 13:31,121.446,31.198,4,13,1185.941409
2744,190589,10162,2020/8/11 13:23,121.504,31.304,2020/8/11 13:32,121.51,31.306,1,9,612.727509
2745,191197,4810,2020/8/11 13:26,121.527,31.324,2020/8/11 13:39,121.522,31.32,3,13,650.52432
2746,185672,6746,2020/8/11 13:32,121.54,31.187,2020/8/11 13:40,121.547,31.184,3,8,745.542459
2747,44443,5132,2020/8/11 13:36,121.391,31.245,2020/8/11 13:51,121.396,31.258,0,15,1518.006486
2748,59333,9582,2020/8/11 13:41,121.515,31.298,2020/8/11 13:50,121.51,31.294,2,9,650.618738
2749,101918,7667,2020/8/11 13:46,121.442,31.282,2020/8/11 13:56,121.438,31.278,0,10,584.612438
2750,184583,10046,2020/8/11 13:51,121.502,31.266,2020/8/11 14:52,121.509,31.257,0,61,1200.092908
2751,114539,1148,2020/8/11 13:58,121.342,31.151,2020/8/11 14:17,121.357,31.17,5,19,2546.173896
2752,75289,4228,2020/8/11 14:03,121.466,31.216,2020/8/11 14:19,121.46,31.206,3,16,1247.474988
2753,192234,9390,2020/8/11 14:08,121.458,31.251,2020/8/11 14:13,121.457,31.255,7,5,453.60871
2754,153809,2810,2020/8/11 14:14,121.471,31.228,2020/8/11 14:31,121.476,31.233,0,17,730.924236
2755,66820,9857,2020/8/11 14:19,121.443,31.279,2020/8/11 14:22,121.438,31.278,0,3,488.866918
2756,53177,7515,2020/8/11 14:32,121.47,31.264,2020/8/11 14:37,121.466,31.268,7,5,584.648358
2757,192377,10762,2020/8/11 14:36,121.451,31.252,2020/8/11 15:04,121.476,31.253,7,28,2383.871994
2758,19636,9155,2020/8/11 14:45,121.502,31.221,2020/8/11 14:49,121.498,31.217,2,4,584.768862
2759,5291,2748,2020/8/11 14:49,121.428,31.228,2020/8/11 14:59,121.43,31.22,6,10,907.225729
2760,165627,6920,2020/8/11 14:53,121.449,31.283,2020/8/11 15:08,121.423,31.269,0,15,2922.27256
2761,107808,9899,2020/8/11 14:58,121.431,31.16,2020/8/11 15:04,121.424,31.163,4,6,745.692513
