ID,SX,SY,class,sort
670,121.542,31.286,2,0
671,121.6,31.206,0,0
672,121.506,31.192,2,0
673,121.477,31.251,4,0
674,121.534,31.277,0,0
675,121.474,31.304,4,0
676,121.415,31.219,3,0
677,121.393,31.149,5,0
678,121.473,31.219,0,0
679,121.522,31.312,6,0
680,121.433,31.238,3,0
681,121.479,31.204,3,0
682,121.475,31.296,5,0
683,121.486,31.273,3,0
684,121.421,31.279,5,0
685,121.543,31.275,4,0
686,121.402,31.264,5,0
687,121.434,31.168,3,0
688,121.447,31.199,3,0
689,121.418,31.265,1,0
690,121.483,31.32,1,0
691,121.413,31.186,2,0
692,121.385,31.166,0,0
693,121.517,31.274,6,0
694,121.434,31.167,5,0
695,121.471,31.244,3,0
696,121.466,31.256,0,0
697,121.434,31.237,7,0
698,121.527,31.328,3,0
699,121.358,31.218,0,0
700,121.581,31.241,7,0
701,121.488,31.22,4,0
702,121.459,31.332,3,0
703,121.518,31.251,5,0
704,121.54,31.328,4,0
705,121.444,31.179,4,0
706,121.442,31.187,5,0
707,121.39,31.268,0,0
708,121.482,31.219,2,0
709,121.466,31.267,4,0
710,121.367,31.237,2,0
711,121.508,31.288,5,0
712,121.403,31.163,4,0
713,121.512,31.259,5,0
714,121.439,31.297,0,0
715,121.396,31.165,2,0
716,121.484,31.25,0,0
717,121.508,31.303,5,0
718,121.385,31.212,7,0
719,121.446,31.187,5,0
720,121.484,31.227,6,0
721,121.483,31.32,0,0
722,121.398,31.294,0,0
723,121.513,31.302,3,0
724,121.517,31.317,4,0
725,121.466,31.21,5,0
726,121.432,31.199,4,0
727,121.483,31.223,0,0
728,121.458,31.152,6,0
729,121.489,31.27,7,0
730,121.438,31.176,0,0
731,121.424,31.221,7,0
732,121.549,31.289,1,0
733,121.446,31.32,0,0
734,121.424,31.211,4,0
735,121.399,31.202,5,0
736,121.423,31.237,7,0
737,121.478,31.206,5,0
738,121.448,31.307,0,0
739,121.454,31.119,7,0
740,121.431,31.309,5,0
741,121.484,31.257,5,0
742,121.476,31.296,0,0
743,121.43,31.203,0,0
744,121.416,31.283,0,0
745,121.482,31.218,5,0
746,121.556,31.245,7,0
747,121.5,31.256,3,0
749,121.531,31.311,7,0
750,121.483,31.293,4,0
751,121.411,31.209,2,0
752,121.497,31.255,2,0
753,121.49,31.245,7,0
754,121.481,31.227,7,0
755,121.488,31.203,3,0
756,121.437,31.191,4,0
757,121.541,31.307,5,0
758,121.459,31.231,0,0
759,121.391,31.255,5,0
760,121.501,31.279,5,0
761,121.313,31.202,5,0
762,121.404,31.164,4,0
763,121.474,31.245,0,0
764,121.39,31.269,2,0
765,121.523,31.214,7,0
766,121.313,31.271,7,0
767,121.531,31.302,3,0
768,121.377,31.271,3,0
769,121.499,31.29,5,0
770,121.488,31.252,0,0
771,121.404,31.239,3,0
772,121.486,31.233,3,0
773,121.441,31.188,0,0
774,121.393,31.248,5,0
775,121.361,31.135,5,0
776,121.514,31.277,3,0
777,121.539,31.311,4,0
778,121.489,31.247,7,0
779,121.465,31.257,7,0
780,121.542,31.267,5,0
781,121.518,31.21,0,0
782,121.491,31.23,5,0
783,121.411,31.23,5,0
784,121.49,31.312,7,0
785,121.531,31.323,3,0
786,121.484,31.236,5,0
787,121.446,31.181,3,0
788,121.356,31.249,5,0
789,121.514,31.222,4,0
790,121.479,31.221,2,0
792,121.479,31.395,5,0
793,121.443,31.28,7,0
794,121.486,31.236,7,0
795,121.418,31.195,5,0
796,121.402,31.171,0,0
797,121.489,31.249,5,0
798,121.374,31.171,1,0
799,121.398,31.299,7,0
800,121.448,31.264,4,0
801,121.51,31.306,3,0
802,121.458,31.22,5,0
803,121.448,31.222,0,0
804,121.455,31.223,4,0
805,121.482,31.201,7,0
806,121.441,31.195,2,0
807,121.447,31.215,1,0
808,121.513,31.303,5,0
809,121.501,31.275,0,0
810,121.41,31.169,4,0
811,121.482,31.289,0,0
812,121.471,31.199,4,0
813,121.482,31.201,2,0
814,121.481,31.27,0,0
815,121.455,31.207,2,0
816,121.425,31.15,3,0
817,121.456,31.215,5,0
818,121.366,31.251,5,0
819,121.403,31.301,5,0
820,121.393,31.232,7,0
821,121.466,31.266,7,0
822,121.405,31.219,1,0
823,121.391,31.275,0,0
824,121.446,31.23,4,0
825,121.398,31.195,5,0
826,121.514,31.303,7,0
827,121.348,31.282,5,0
828,121.493,31.261,2,0
829,121.54,31.293,5,0
830,121.468,31.258,2,0
831,121.485,31.254,4,0
832,121.497,31.29,7,0
833,121.426,31.182,0,0
834,121.473,31.218,7,0
