UID,ST
7564,2016/8/1 13:47
4088,2016/8/1 13:48
7053,2016/8/1 13:51
6503,2016/8/1 13:51
7430,2016/8/1 13:53
5786,2016/8/1 13:54
4947,2016/8/1 13:54
5432,2016/8/1 13:54
1526,2016/8/1 13:54
3282,2016/8/1 13:56
7787,2016/8/1 13:56
6581,2016/8/1 13:57
3878,2016/8/1 14:01
576,2016/8/1 14:02
4667,2016/8/1 14:02
8081,2016/8/1 14:03
6545,2016/8/1 14:04
2069,2016/8/1 14:05
6680,2016/8/1 14:06
924,2016/8/1 14:09
1239,2016/8/1 14:09
4430,2016/8/1 14:09
6071,2016/8/1 14:10
6752,2016/8/1 14:11
5866,2016/8/1 14:11
8023,2016/8/1 14:15
6662,2016/8/1 14:15
2090,2016/8/1 14:17
2484,2016/8/1 14:17
8036,2016/8/1 14:17
8004,2016/8/1 14:19
3858,2016/8/1 14:19
6156,2016/8/1 14:20
1017,2016/8/1 14:20
5513,2016/8/1 14:20
661,2016/8/1 14:21
6625,2016/8/1 14:21
6680,2016/8/1 14:21
742,2016/8/1 14:21
3969,2016/8/1 14:24
579,2016/8/1 14:25
6242,2016/8/1 14:29
6694,2016/8/1 14:30
6414,2016/8/1 14:32
6140,2016/8/1 14:32
4931,2016/8/1 14:34
2879,2016/8/1 14:35
6120,2016/8/1 14:36
4531,2016/8/1 14:38
5433,2016/8/1 14:42
3731,2016/8/1 14:45
4790,2016/8/1 14:45
6911,2016/8/1 14:45
6284,2016/8/1 14:46
6156,2016/8/1 14:47
7977,2016/8/1 14:50
6578,2016/8/1 14:54
832,2016/8/1 14:54
3626,2016/8/1 14:54
7510,2016/8/1 14:54
3072,2016/8/1 14:58
6154,2016/8/1 14:59
6089,2016/8/1 14:59
459,2016/8/1 14:59
5073,2016/8/1 15:00
2454,2016/8/1 15:00
1124,2016/8/1 15:01
6302,2016/8/1 15:02
6162,2016/8/1 15:02
5598,2016/8/1 15:02
1186,2016/8/1 15:02
5457,2016/8/1 15:02
1469,2016/8/1 15:03
4185,2016/8/1 15:03
7868,2016/8/1 15:04
4762,2016/8/1 15:04
3010,2016/8/1 15:05
5981,2016/8/1 15:08
3454,2016/8/1 15:08
2731,2016/8/1 15:09
5072,2016/8/1 15:09
8114,2016/8/1 15:13
7028,2016/8/1 15:13
6584,2016/8/1 15:14
5711,2016/8/1 15:15
6332,2016/8/1 15:15
1954,2016/8/1 15:16
400,2016/8/1 15:16
7167,2016/8/1 15:17
976,2016/8/1 15:18
7532,2016/8/1 15:19
3045,2016/8/1 15:21
1678,2016/8/1 15:21
5368,2016/8/1 15:21
4573,2016/8/1 15:21
5154,2016/8/1 15:24
6452,2016/8/1 15:25
5340,2016/8/1 15:26
1581,2016/8/1 15:26
7977,2016/8/1 15:27
7233,2016/8/1 15:27
3212,2016/8/1 15:27
6275,2016/8/1 15:28
1123,2016/8/1 15:28
5993,2016/8/1 15:28
7131,2016/8/1 15:28
7097,2016/8/1 15:30
5935,2016/8/1 15:30
6470,2016/8/1 15:32
5616,2016/8/1 15:32
7239,2016/8/1 15:33
8100,2016/8/1 15:35
4038,2016/8/1 15:35
5115,2016/8/1 15:37
5055,2016/8/1 15:38
7401,2016/8/1 15:40
1229,2016/8/1 15:40
712,2016/8/1 15:43
6406,2016/8/1 15:44
6031,2016/8/1 15:44
822,2016/8/1 15:45
2124,2016/8/1 15:45
6911,2016/8/1 15:48
1143,2016/8/1 15:49
6123,2016/8/1 15:49
7976,2016/8/1 15:51
3013,2016/8/1 15:52
6174,2016/8/1 15:52
1316,2016/8/1 15:53
4611,2016/8/1 15:53
7432,2016/8/1 15:54
3068,2016/8/1 15:54
2447,2016/8/1 15:54
5617,2016/8/1 15:56
4108,2016/8/1 15:57
4299,2016/8/1 15:58
6154,2016/8/1 15:58
6540,2016/8/1 16:01
2540,2016/8/1 16:01
1005,2016/8/1 16:02
7736,2016/8/1 16:03
5386,2016/8/1 16:03
