ID,EX,EY
902,121.426,31.188
903,121.41,31.306
904,121.449,31.293
905,121.461,31.253
906,121.443,31.314
907,121.381,31.158
908,121.383,31.232
909,121.47,31.191
910,121.461,31.308
911,121.539,31.321
912,121.511,31.294
913,121.481,31.21
914,121.339,31.112
915,121.522,31.309
916,121.44,31.315
917,121.405,31.248
918,121.469,31.257
919,121.536,31.295
920,121.389,31.32
921,121.421,31.284
922,121.457,31.308
923,121.453,31.276
924,121.517,31.251
925,121.502,31.309
926,121.508,31.29
927,121.501,31.286
928,121.52,31.129
929,121.471,31.293
930,121.37,31.249
931,121.348,31.265
932,121.521,31.32
933,121.476,31.198
934,121.403,31.191
935,121.537,31.293
936,121.461,31.287
937,121.44,31.268
938,121.465,31.257
939,121.494,31.262
940,121.36,31.258
941,121.379,31.232
942,121.517,31.274
943,121.442,31.192
944,121.379,31.255
945,121.519,31.32
946,121.412,31.276
947,121.402,31.281
948,121.45,31.238
949,121.377,31.108
950,121.441,31.226
951,121.484,31.304
952,121.418,31.17
953,121.415,31.218
954,121.403,31.229
955,121.535,31.328
956,121.351,31.171
957,121.489,31.222
958,121.46,31.32
959,121.493,31.256
960,121.509,31.268
961,121.469,31.25
962,121.397,31.228
963,121.437,31.181
964,121.395,31.165
965,121.544,31.283
966,121.446,31.226
967,121.505,31.316
968,121.416,31.24
969,121.385,31.134
970,121.496,31.259
971,121.535,31.328
972,121.523,31.258
973,121.39,31.269
974,121.441,31.178
975,121.562,31.28
976,121.443,31.207
977,121.418,31.275
978,121.52,31.312
979,121.534,31.314
980,121.366,31.251
981,121.362,31.131
982,121.501,31.275
983,121.55,31.193
984,121.422,31.189
985,121.374,31.175
986,121.495,31.248
987,121.443,31.242
988,121.405,31.183
989,121.417,31.238
990,121.542,31.33
991,121.509,31.279
992,121.44,31.253
993,121.535,31.285
994,121.411,31.289
995,121.426,31.259
996,121.524,31.264
997,121.541,31.288
998,121.437,31.183
999,121.383,31.256
1000,121.478,31.269
1001,121.528,31.287
1002,121.404,31.139
1003,121.343,31.143
1004,121.513,31.14
1005,121.459,31.215
1006,121.515,31.288
1007,121.381,31.157
1008,121.423,31.249
1009,121.395,31.213
1010,121.36,31.226
1011,121.459,31.202
1012,121.493,31.315
1013,121.428,31.291
1014,121.482,31.289
1015,121.588,31.308
1016,121.515,31.31
1017,121.564,31.25
1018,121.427,31.277
1019,121.51,31.306
1020,121.43,31.142
1021,121.462,31.196
1022,121.402,31.234
1023,121.415,31.159
1024,121.49,31.277
1025,121.459,31.192
1026,121.494,31.247
1027,121.413,31.157
1028,121.508,31.303
1029,121.457,31.254
1030,121.347,31.157
1031,121.491,31.338
1032,121.447,31.261
1033,121.488,31.262
1034,121.473,31.193
1035,121.401,31.276
1036,121.502,31.258
1037,121.505,31.262
1038,121.511,31.143
1039,121.486,31.387
1040,121.419,31.174
1041,121.512,31.302
1042,121.385,31.215
1043,121.488,31.2
1044,121.422,31.141
1045,121.529,31.321
1046,121.418,31.147
1047,121.486,31.21
1048,121.51,31.339
1049,121.478,31.271
1050,121.478,31.25
1051,121.462,31.32
1052,121.514,31.303
1053,121.541,31.311
1054,121.504,31.289
1055,121.481,31.258
1056,121.491,31.262
1057,121.468,31.286
1058,121.531,31.315
1059,121.498,31.217
1060,121.35,31.171
1061,121.433,31.123
1062,121.433,31.143
1063,121.414,31.272
1064,121.468,31.227
1065,121.513,31.26
1066,121.45,31.228
1067,121.479,31.226
1068,121.514,31.268
1069,121.411,31.234
1070,121.37,31.323
1071,121.539,31.3
1072,121.441,31.229
1073,121.464,31.194
1074,121.454,31.272
1075,121.381,31.315
1076,121.401,31.214
1077,121.417,31.263
1078,121.48,31.313
1079,121.388,31.259
1080,121.405,31.162
1081,121.513,31.302
1082,121.378,31.312
1083,121.538,31.271
1084,121.498,31.209
1085,121.444,31.208
1086,121.377,31.314
1087,121.346,31.289
1088,121.435,31.176
1089,121.478,31.232
1090,121.51,31.304
1091,121.471,31.241
1092,121.474,31.287
1093,121.442,31.264
1094,121.429,31.302
1095,121.509,31.288
1096,121.382,31.283
1097,121.489,31.311
1098,121.416,31.137
1099,121.431,31.2
1100,121.467,31.298
1101,121.514,31.307
1102,121.473,31.266
1103,121.429,31.252
1104,121.536,31.328
1105,121.446,31.327
1106,121.426,31.255
1107,121.475,31.328
1108,121.45,31.328
1109,121.54,31.2
1110,121.513,31.303
1111,121.524,31.264
1112,121.366,31.235
1113,121.439,31.193
1114,121.52,31.281
1115,121.445,31.336
1116,121.432,31.229
1117,121.5,31.281
1118,121.484,31.306
1119,121.441,31.31
1120,121.442,31.261
1121,121.473,31.172
1122,121.412,31.299
1123,121.466,31.31
1124,121.529,31.333
1125,121.494,31.215
1126,121.419,31.292
1127,121.544,31.284
1128,121.475,31.199
1129,121.427,31.192
1130,121.408,31.19
1131,121.474,31.245
1132,121.362,31.218
1133,121.395,31.175
1134,121.506,31.277
1135,121.372,31.248
1136,121.504,31.304
1137,121.46,31.189
1138,121.399,31.248
1139,121.49,31.318
1140,121.512,31.311
1141,121.49,31.331
1142,121.367,31.188
1143,121.485,31.306
1144,121.333,31.223
1145,121.474,31.323
1146,121.39,31.269
1147,121.384,31.166
1148,121.489,31.209
1149,121.45,31.193
1150,121.534,31.324
1151,121.614,31.279
1152,121.415,31.24
1153,121.4,31.209
1154,121.541,31.295
1155,121.477,31.255
1156,121.513,31.336
1157,121.364,31.258
1158,121.443,31.232
1159,121.5,31.261
1160,121.499,31.308
1161,121.506,31.21
1162,121.527,31.16
1163,121.439,31.164
1164,121.468,31.198
1165,121.469,31.197
1166,121.451,31.173
1167,121.416,31.233
1168,121.497,31.29
1169,121.435,31.177
1170,121.538,31.273
1171,121.393,31.205
1172,121.504,31.305
1173,121.456,31.311
1174,121.422,31.212
1175,121.413,31.223
1176,121.514,31.307
1177,121.491,31.345
1178,121.532,31.298
1179,121.547,31.277
1180,121.531,31.323
1181,121.466,31.328
1182,121.352,31.281
1183,121.445,31.178
1184,121.404,31.215
1185,121.504,31.268
1186,121.521,31.315
1187,121.463,31.239
1188,121.455,31.228
1189,121.453,31.157
1190,121.411,31.265
1191,121.542,31.281
1192,121.54,31.192
1193,121.426,31.204
1194,121.392,31.181
1195,121.437,31.248
1196,121.368,31.291
1197,121.535,31.305
1198,121.324,31.254
1199,121.407,31.208
1200,121.439,31.229
1201,121.394,31.258
1202,121.452,31.27
1203,121.448,31.273
1204,121.426,31.121
1205,121.496,31.209
1206,121.387,31.188
1207,121.452,31.311
1208,121.537,31.271
1209,121.47,31.26
1210,121.428,31.347
1211,121.445,31.22
1212,121.47,31.295
1213,121.54,31.279
1214,121.466,31.192
1215,121.423,31.235
1216,121.433,31.304
1217,121.492,31.32
1218,121.478,31.226
1219,121.422,31.328
1220,121.569,31.24
1221,121.453,31.157
1222,121.501,31.335
